"studies","tests","b","se","zval","pval","ci.lb","ci.ub"
4,13,-0.0469448277424909,0.151832134160258,-0.309189013262112,0.757177750880191,-0.344530342392451,0.250640686907469
6,21,0.102037010608787,0.076869029000323,1.32741380938164,0.184371834092675,-0.0486235177584113,0.252697538975985
4,5,0.205605085446811,0.18563187154113,1.10759582252693,0.268036408386844,-0.158226697156568,0.569436868050191
6,15,0.131899674319694,0.0882072479373584,1.49533827892879,0.134826179753959,-0.0409833548129233,0.304782703452312
7,49,0.0906148005424465,0.0462028185344809,1.96123966928167,0.0498510713333438,5.89402306243048e-05,0.181170660854269
5,15,0.873617876032966,0.0809002675143926,10.7987019434459,3.49103918062581e-27,0.7150562653651,1.03217948670083
5,20,0.443932485443335,0.0656647756511097,6.76058786528166,1.37432951836772e-11,0.315231890114257,0.572633080772412
4,13,0.0861447249975917,0.146410436667474,0.588378307983894,0.556278394462147,-0.200814457831441,0.373103907826624
8,151,0.271039645206312,0.103050181923234,2.63017143830197,0.00853418190635161,0.0690650000364729,0.473014290376152
