"pctCMF > 0","domain","estimate","se","zval","pval","ci.lb","ci.ub"
FALSE,"Motor Speed",-0.0724955429242824,0.248215365121904,-0.292067104261166,0.770235317626994,-0.558988718972673,0.413997633124108
FALSE,"Exec Fxn",0.037802572267814,0.190166038681885,0.198787188973585,0.842429217718394,-0.334916014631331,0.410521159166959
FALSE,"Visuospatial",0.396158771745012,0.607887045380277,0.651698000073658,0.51459601301165,-0.795277943868796,1.58759548735882
FALSE,"Info Proc Speed",0.144837837201394,0.191377528117056,0.756817368404948,0.449159285801345,-0.230255225358337,0.519930899761125
FALSE,"Attn/Wkg Mem/Concen",-0.00488329355650857,0.121400320645302,-0.0402247171222569,0.967913972159928,-0.242823549732915,0.233056962619898
FALSE,"Vis Mem",0.178631797422213,0.224008601113763,0.797432761662106,0.425199738516486,-0.260416992987961,0.617680587832387
FALSE,"Verb Mem",0.178358157021038,0.187762580595814,0.94991321729317,0.342156350299899,-0.189649738591057,0.546366052633134
FALSE,"Verb Ability/Lang",0.177493013034862,0.263505593150479,0.673583474691187,0.500576162247275,-0.338968459264941,0.693954485334665
TRUE,"Motor Speed",-0.507697326936478,0.851501434450687,-0.596237782340319,0.551016388610024,-2.17660947124402,1.16121481737106
TRUE,"Exec Fxn",0.15604225427412,0.192291070319595,0.8114898628146,0.417084412059385,-0.220841318100944,0.532925826649185
TRUE,"Visuospatial",-0.559645095781298,2.31395326401447,-0.241856698008831,0.808891204086455,-5.09491015515857,3.97561996359597
TRUE,"Info Proc Speed",0.0516339179326333,0.215256237432173,0.239871878039785,0.810429582532312,-0.370260554882029,0.473528390747295
TRUE,"Attn/Wkg Mem/Concen",-0.0286742091336649,0.110647060318492,-0.259150211954369,0.795519344170475,-0.245538462353139,0.18819004408581
TRUE,"Vis Mem",0.884221141309922,0.226638530748049,3.90145990794875,9.56142989698e-05,0.440017783534673,1.32842449908517
TRUE,"Verb Mem",0.853373199415336,0.154769900692632,5.51381887302563,3.51129968206683e-08,0.550029768166937,1.15671663066373
TRUE,"Verb Ability/Lang",0.277826662327872,0.515109954399459,0.539354093150416,0.589642550709976,-0.731770296373137,1.28742362102888
