"domain","k","b","se","zval","pval","ci.lb","ci.ub","sigma2","tau2","rho","QE","QEp"
"Attn/Wkg Mem/Concentration",41,-0.0470890567083523,0.113396907168359,-0.415258739274429,0.677952502714602,-0.269342910716568,0.175164797299864,0.0610960189706674,0.105141073651078,0,126.913203388248,5.67201520358555e-11
"Verbal Memory",17,0.605270079733809,0.382114286951871,1.58400274578073,0.113193094255251,-0.143660160670062,1.35420032013768,0.769859866208274,0.140492031036105,0,135.998576334007,4.3629068420311e-21
"Visual Memory",11,0.825747682860256,0.300809632144864,2.74508391560611,0.00604954265397689,0.236171637653581,1.41532372806693,0.0162908030956402,0.845639341774271,0,70.5734557980497,3.43556272434215e-11
"Verbal Ability/Language",10,0.275048409140916,0.0771386881777644,3.56563503526367,0.000362976207668758,0.123859358497832,0.426237459784,0.00178640009177434,0.00469410874927474,0,9.79518335339837,0.367319463398869
"Motor Speed",10,-0.0674233981000655,0.0834469076708607,-0.807979588243142,0.41910233264393,-0.230976331756192,0.0961295355560606,0.00387027213490944,5.18580584001738e-12,0,4.35770830882288,0.886332770744044
"Information Proc Speed",10,0.189478826998642,0.120143771814389,1.57710070307572,0.114772355476569,-0.0459986387243586,0.424956292721643,0.0479095114571017,1.79450434576547e-12,0,15.5767612770615,0.0762634691186519
"Exec Fxn",14,0.115031774889406,0.0911444461932411,1.26208210915583,0.206919242268312,-0.0636080570401958,0.293671606819007,1.69431328351586e-11,0.0678342573395454,0,32.289590555917,0.0021758399812448
"Visuospatial",4,0.279919015013622,0.116929606556575,2.39391051810464,0.0166698150935895,0.0507411974362963,0.509096832590947,2.00738705642968e-12,2.00738705642968e-12,0,1.64347180599817,0.649573536215108
